,ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
16484,1760186601.0,2025-10-11T18:13:21+05:30,0.0529,70.56,d7,2025-10-11 18:13:21+05:30,45.44199806321377,-0.014888612551801857,0,,normal,1,Critical high temp: 70.56°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16487,1760186604.0,2025-10-11T18:13:24+05:30,0.0899,71.67,d7,2025-10-11 18:13:24+05:30,63.88392768456935,-0.014872584622476629,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
16488,1760186605.0,2025-10-11T18:13:25+05:30,0.0429,71.11,d7,2025-10-11 18:13:25+05:30,48.53685858849285,-0.014885922800415258,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16489,1760186606.0,2025-10-11T18:13:26+05:30,0.2029,71.11,d7,2025-10-11 18:13:26+05:30,45.941529723975144,-0.014888178407527437,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16494,1760186611.0,2025-10-11T18:13:31+05:30,0.0769,71.11,d7,2025-10-11 18:13:31+05:30,61.801735936097145,-0.014874394260777572,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16496,1760186613.0,2025-10-11T18:13:33+05:30,0.1119,71.11,d7,2025-10-11 18:13:33+05:30,62.343965668458516,-0.014873923007497316,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16501,1760186618.0,2025-10-11T18:13:38+05:30,0.0379,71.11,d7,2025-10-11 18:13:38+05:30,63.68560460294388,-0.014872756985586192,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16502,1760186619.0,2025-10-11T18:13:39+05:30,0.0919,71.11,d7,2025-10-11 18:13:39+05:30,46.554235259375595,-0.014887645903542213,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16506,1760186623.0,2025-10-11T18:13:43+05:30,0.0499,71.11,d7,2025-10-11 18:13:43+05:30,62.82695359261892,-0.014873503241427694,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16507,1760186624.0,2025-10-11T18:13:44+05:30,0.1339,71.11,d7,2025-10-11 18:13:44+05:30,45.987723227246754,-0.014888138260632781,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16511,1760186628.0,2025-10-11T18:13:48+05:30,0.1529,71.11,d7,2025-10-11 18:13:48+05:30,60.266479686078576,-0.014875728556004626,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16512,1760186629.0,2025-10-11T18:13:49+05:30,0.1359,71.11,d7,2025-10-11 18:13:49+05:30,47.210256234066485,-0.014887075753995279,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16513,1760186630.0,2025-10-11T18:13:50+05:30,0.0689,71.11,d7,2025-10-11 18:13:50+05:30,48.62101672003324,-0.014885849658362763,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16525,1760186642.0,2025-10-11T18:14:02+05:30,0.0609,71.11,d7,2025-10-11 18:14:02+05:30,62.05972107703218,-0.014874170045216035,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C); Rapid temp change: 17.78°C/sample,critical,critical,0,1,0,0,1,1
16526,1760186643.0,2025-10-11T18:14:03+05:30,0.0869,70.56,d7,2025-10-11 18:14:03+05:30,44.61722759122091,-0.014889329361978778,0,,normal,1,Critical high temp: 70.56°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
